"file","caption","alt_text","category","png_time","StartTime"
"comp_agefit_sampsize_flt1mkt0.png","N-EffN comparison, Age comps, whole catch, Fleet",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_data_weighting_TA1.8_Fleet.png","Mean age for Fleet with 95% confidence intervals based on current samples sizes.<br>Francis data weighting method TA1.8: too few points to calculate adjustments. <br><br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.  <a href=https://doi.org/10.1139/f2011-025> https://doi.org/10.1139/f2011-025</a> </blockquote>",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_flt2mkt0.png","Age comps, whole catch, Acoustics.<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Ianelli tuning method.",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_residsflt2mkt0.png","Pearson residuals, whole catch, Acoustics (max=0.32) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_sampsize_flt2mkt0.png","N-EffN comparison, Age comps, whole catch, Acoustics",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"comp_agefit_data_weighting_TA1.8_Acoustics.png","Mean age for Acoustics with 95% confidence intervals based on current samples sizes.<br>Francis data weighting method TA1.8: too few points to calculate adjustments. <br><br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.  <a href=https://doi.org/10.1139/f2011-025> https://doi.org/10.1139/f2011-025</a> </blockquote>",NA,"AgeComp",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"yield1_yield_curve.png","Yield curve",NA,"Yield",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"yield2_yield_curve_with_refpoints.png","Yield curve with reference points",NA,"Yield",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"yield3_surplus_production.png","Surplus production vs. biomass plot. For interpretation, see<br> <blockquote>Walters, Hilborn, and  Christensen, 2008, Surplus production dynamics in declining and recovering fish populations. <i>Can. J. Fish. Aquat. Sci.</i> 65: 2536-2551.</blockquote>",NA,"Yield",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"yield4_YPR_timeseries.png","Time series of yield per recruit (kg)",NA,"Yield",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"data_plot.png","Data presence by year for each fleet and data type.",NA,"Data",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"data_plot2.png","Data presence by year for each fleet, where circle area is <br>  relative within a data type. Circles are proportional to <br>  total catch for catches; to precision for indices, discards, and <br>  mean body weight observations; and to total sample size for <br> compositions and mean weight- or length-at-age observations. <br> 'Ghost' observations (not included in the likelihood) have <br> equal size for all years. <br> Note that since the circles are are scaled relative <br>  to maximum within each type, the scaling within separate plots <br>  should not be compared.",NA,"Data",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"parameter_distributions_page1.png","Parameter distribution plots (plot 1 of 2). <br>Deviation parameters are not included. <br>Plotting range is equal to input limits on parameters. Use fitrange = TRUE to scale the range to the estimates.",NA,"Pars",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"parameter_distributions_page2.png","Parameter distribution plots (plot 2 of 2).",NA,"Pars",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
"parameterchecks.html","Table of estimated parameters (excluding deviation parameters) sorted by parameters with the largest gradients; any parameter with a gradient value with an absolute value above 0.001 (for SS 3.30 models) or a parameter on bounds is colored in red.",NA,"DiagnosticTables",2023-09-18 11:32:34,"StartTime: Mon Sep 18 11:24:36 2023"
